Reference	Value	Footprint	Part	DigikeyPart
C1	0.1uF	SM0805	CC0805ZRY5V9BB104	311-1361-1-ND
C2	10uF	SM0805	TPSA106M010R1800	478-4086-1-ND
C3	0.1uF	SM0805	CC0805ZRY5V9BB104	311-1361-1-ND
D1	LED	SM1206	APT3216SRCPRV	754-1142-1-ND
D2	LED	LED-1206	APT3216SGC	754-1141-1-ND
D3	LED	LED-1206	APT3216SGC	754-1141-1-ND
FB1	FILTER	SM0603	MMZ1608D220C	445-6406-1-ND
J1	USB_2	USB_MINI_A	896-43-005-00-100001	ED90342CT-ND
J2	RJ45	RJ45_8
J3	RJ45	RJ45_8	95501-2882	WM5572-ND
JP1	JUMPER	SM1206	N/A	N/A
PGND1	CONN_1	SIL-1	N/A	N/A
PRXD1	CONN_1	SIL-1	N/A	N/A
PTXD1	CONN_1	SIL-1	N/A	N/A
PVCC1	CONN_1	SIL-1	N/A	N/A
R1	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R2	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R3	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R4	120	SM0805	RMCF0805JT120R	RMCF0805JT120RCT-ND
U1	FT232RL	SSOP28	FT232RL-REEL	768-1007-1-ND
U2	SN75176B	SOIC8	SN75176BPSR	296-27995-1-ND
