Reference	Value	Footprint	Part	DigikeyPart
C1	1uF	C1	TAP105M035SCS	478-5812-ND
C2	100nF	C1	SR215C103KAR	478-4862-ND
C3	47uF	Elko_vert_DM7-5_RM2-5	ECA-1CM470	P5137-ND
C4	1uF	C1	TAP105M035SCS	478-5812-ND
C5	100nF	C1	TAP104K035SCS	478-1831-ND
C6	100nF	C1	SR215C103KAR	478-4862-ND
C7	1nF	C1	SR215C103KAR	478-4862-ND
C8	1nF	C1	SR215C103KAR	478-4862-ND
C9	100nF	SM0805	478-1395-1-ND	08055C104KAT2A
C10	8pF	SM0805	CC0805DRNP09BN8R0	311-1097-1-ND
C11	8pF	SM0805	CC0805DRNP09BN8R0	311-1097-1-ND
D1	LED	LED-1206	APT3216SRCPRV	754-1142-1-ND
D2	LED	LED-1206	APT3216SGC	754-1141-1-ND
D3	LED	LED-1206	APT3216SGC	754-1141-1-ND
D4	LED	LED-1206	APT3216SGC	754-1141-1-ND
D5	LED	LED-1206	APT3216SGC	754-1141-1-ND
IC1	ATMEGA168-P	DIP-28__300	ATMEGA168-20PU	ATMEGA168-20PU-ND
IC2	SN75176B	DIP-8__300	SN75176BP	296-1739-5-ND
J1	RJ45	RJ45_8	95501-2882	WM5572-ND
J2	RJ45	RJ45_8	95501-2882	WM5572-ND
JLEDPWR2	JACK_2P	JACK_ALIM	PJ-202A	CP-202A-ND
JLGCPWR1	JACK_2P	JACK_ALIM	PJ-202A	CP-202A-ND
JP1	JUMPER	SM1206	N/A	N/A
PBIGGND1	CONN_1	1pin	N/A	N/A
PCRNR1	CONN_1	1pin	N/A	N/A
PCRNR2	CONN_1	1pin	N/A	N/A
PCRNR3	CONN_1	1pin	N/A	N/A
PCRNR4	CONN_1	1pin	N/A	N/A
PLEDB0	CONN_1	1pin	N/A	N/A
PLEDB1	CONN_1	1pin	N/A	N/A
PLEDB2	CONN_1	1pin	N/A	N/A
PLEDB3	CONN_1	1pin	N/A	N/A
PLEDB4	CONN_1	1pin	N/A	N/A
PLEDG0	CONN_1	1pin	N/A	N/A
PLEDG1	CONN_1	1pin	N/A	N/A
PLEDG2	CONN_1	1pin	N/A	N/A
PLEDG3	CONN_1	1pin	N/A	N/A
PLEDG4	CONN_1	1pin	N/A	N/A
PLEDR0	CONN_1	1pin	N/A	N/A
PLEDR1	CONN_1	1pin	N/A	N/A
PLEDR2	CONN_1	1pin	N/A	N/A
PLEDR3	CONN_1	1pin	N/A	N/A
PLEDR4	CONN_1	1pin	N/A	N/A
PLEDVCC1	CONN_1	SIL-1	N/A	N/A
PLEDVCC2	CONN_1	SIL-1	N/A	N/A
PLEDVCC3	CONN_1	SIL-1	N/A	N/A
PLEDVCC4	CONN_1	SIL-1	N/A	N/A
PSOUT1	CONN_1	SIL-1	N/A	N/A
PX1	CONN_1	SIL-1	N/A	N/A
PX2	CONN_1	SIL-1	N/A	N/A
PX3	CONN_1	SIL-1	N/A	N/A
PX4	CONN_1	SIL-1	N/A	N/A
PX5	CONN_1	SIL-1	N/A	N/A
R1	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R2	10K	SM0805	RMCF0805JT10K0	RMCF0805JT10K0CT-ND
R3	325.5	SM0805	RMCF0805JT330R	RMCF0805JT330RCT-ND
R4	325.5	SM0805	RMCF0805JT330R	RMCF0805JT330RCT-ND
R5	325.5	SM0805	RMCF0805JT330R	RMCF0805JT330RCT-ND
R6	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R7	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R8	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R9	1K	SM0805	RMCF0805JT1K00	RMCF0805JT1K00CT-ND
R10	120	SM0805	RMCF0805JT120R	RMCF0805JT120RCT-ND
R11	10K		RMCF0805JT10K0	RMCF0805JT10K0CT-ND
SW1	SW_PUSH	PUSH_SW	FSMRA2JH	450-1662-ND
TLC1	TLC5940	DIP-28__300	TLC5940NT	296-17732-5-ND
TLC2	TLC5940	DIP-28__300	TLC5940NT	296-17732-5-ND
TLC3	TLC5940	DIP-28__300	TLC5940NT	296-17732-5-ND
U1	LM7805	LM78XXV	LM7805CT	LM7805CT-ND
X1	CRYSTAL	Crystal_FOX-FE-SMD-RevA_09Aug201	NX8045GB-20.000000MHZ	644-1026-1-ND
