Reference	Value	Footprint	Part	DigikeyPart
C1	1uF	SM0402	C1005X5R0J105M	445-1415-1-ND
C2	100nF	SM0402	C1005Y5V1E104Z	445-3445-1-ND
C3	47uF	Elko_vert_DM7-5_RM2-5	ECA-1CM470	P5137-ND
C4	1uF	SM0402	C1005X5R0J105M	445-1415-1-ND
C5	100nF	SM0402	C1005Y5V1E104Z	445-3445-1-ND
C6	100nF	SM0402	C1005Y5V1E104Z	445-3445-1-ND
C7	1nF	SM0402	C1005X7R1H102K	445-1256-1-ND
C8	1nF	SM0402	C1005X7R1H102K	445-1256-1-ND
C9	100nF	SM0402	C1005Y5V1E104Z	445-3445-1-ND
C10	8pF	SM0402	C1005C0G1H080D	445-4891-1-ND
C11	8pF	SM0402	C1005C0G1H080D	445-4891-1-ND
D1	LED	LED-1206	APT3216SRCPRV	754-1142-1-ND
D2	LED	LED-1206	APT3216SGC	754-1141-1-ND
D3	LED	LED-1206	APT3216SGC	754-1141-1-ND
D4	LED	LED-1206	APT3216SGC	754-1141-1-ND
D5	LED	LED-1206	APT3216SGC	754-1141-1-ND
DA1	CONN_1	1pin	N/A	N/A
DB1	CONN_1	1pin	N/A	N/A
IC1	ATMEGA168-M	TQFP32	ATMEGA168P-20AU	ATMEGA168P-20AU-ND
IC2	SN75176B	SOIC8	SN75176BD	296-1275-5-ND
PINPGND1	CONN_1	1pin	N/A	N/A
PINPLED1	CONN_1	1pin	N/A	N/A
PINPLGC1	CONN_1	1pin	N/A	N/A
PLEDVCC1	CONN_1	SIL-1	N/A	N/A
PLEDVCC2	CONN_1	SIL-1	N/A	N/A
PLEDVCC3	CONN_1	SIL-1	N/A	N/A
PLEDVCC4	CONN_1	SIL-1	N/A	N/A
PLEDVCC5	CONN_1	SIL-1	N/A	N/A
PMISO1	CONN_1	SIL-1	N/A	N/A
PMOSI1	CONN_1	SIL-1	N/A	N/A
PO0	CONN_1	1pin	N/A	N/A
PO1	CONN_1	1pin	N/A	N/A
PO2	CONN_1	1pin	N/A	N/A
PO3	CONN_1	1pin	N/A	N/A
PO4	CONN_1	1pin	N/A	N/A
PPGMLGC1	CONN_1	1pin	N/A	N/A
PSCK1	CONN_1	SIL-1	N/A	N/A
PX1	CONN_1	SIL-1	N/A	N/A
R1	1K	SM0402	RMCF0402JT1K00	RMCF0402JT1K00CT-ND
R2	10K	SM0402	RMCF0402JT10K0	RMCF0402JT10K0CT-ND
R3	325.5	SM0402	P330JCT-ND	ERJ-2GEJ331X
R6	1K	SM0402	RMCF0402JT1K00	RMCF0402JT1K00CT-ND
R7	1K	SM0402	RMCF0402JT1K00	RMCF0402JT1K00CT-ND
R8	1K	SM0402	RMCF0402JT1K00	RMCF0402JT1K00CT-ND
R9	1K	SM0402	RMCF0402JT1K00	RMCF0402JT1K00CT-ND
R10	120	SM0402	ERJ-2GEJ121X	P120JCT-ND
R11	10K		RMCF0402JT10K0	RMCF0402JT10K0CT-ND
SW1	SW_PUSH	PUSH_SW	FSMRA2JH	450-1662-ND
TLC1	TLC5940	SSOP28	TLC5940PWP	296-17733-5-ND
U1	LM7805	LM78XXV	LM7805CT	LM7805CT-ND
X1	CRYSTAL	Crystal_FOX-FE_SMD_RevA_09Aug2010	NX8045GB-20.000000MHZ	644-1026-1-ND
