Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
RMCF0805JT1K00CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT1K00,"R1,6,7,8,9",50,0,0,RES 1K OHM 1/8W 5% 0805 SMD,,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0805JT10K0CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT10K0,"R2,11,12",50,0,0,RES 10K OHM 1/8W 5% 0805 SMD,,RoHS Compliant,Lead free,Unaffected Aug-2011
450-1662-ND,TE CONNECTIVITY ALCOSWITCH,FSMRA2JH,SW1,10,0,0,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Aug-2011
LM7805CT-ND,FAIRCHILD SEMICONDUCTOR,LM7805CT,U1,10,0,0,IC REG LDO 5V 1A TO-220,,RoHS Compliant,Lead free,Unaffected Jun-2011
644-1026-1-ND,NDK (VA),NX8045GB-20.000000MHZ,X1,10,0,0,CRYSTAL 20.000000 MHZ 8PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Nov-2011
445-1356-1-ND,TDK CORPORATION (VA),C2012X7R1C334K/1.25,"C1,2",20,0,0,CAP CER 0.33UF 16V 10% X7R 0805,,RoHS Compliant,Lead free,Unaffected Apr-2011
399-6103-ND,KEMET,ESK107M025AE3AA,C3,10,0,0,CAP ALUM 100UF 25V 20% RADIAL,,RoHS Compliant,Lead free,Unaffected Jan-2011
311-1361-1-ND,YAGEO (VA),CC0805ZRY5V9BB104,"C4,5",25,0,0,CAP CER 0.1UF 50V Y5V 0805,,RoHS Compliant,Lead free,Unaffected Sep-2011
311-1097-1-ND,YAGEO (VA),CC0805DRNPO9BN8R0,"C6,7",25,0,0,CAP CER 8PF 50V NPO 0805,,RoHS Compliant,Lead free,Unaffected Sep-2011
754-1142-1-ND,KINGBRIGHT CORP (VA),APT3216SRCPRV,D1,10,0,0,LED 3.2X1.6MM 640NM RED CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Feb-2011
754-1141-1-ND,KINGBRIGHT CORP (VA),APT3216SGC,"D2,3,4,5",50,0,0,LED 3.2X1.6MM 568NM GRN CLR SMD,,RoHS Compliant,Lead free,Unaffected Feb-2011
WM5572-ND,MOLEX CONNECTOR CORPORATION,95501-2882,"J1,2",20,0,0,CONN MOD JACK R/A 8P8C,,RoHS Compliant,Lead free,Unaffected Dec-2009
CP-202A-ND,CUI INC,PJ-202A,"JLGCPWER1,JLEDPWR2",20,0,0,CONN POWER JACK 2.1MM PCB,,RoHS Compliant,Lead free,Unaffected Oct-2010
ED2563-ND,ON SHORE TECHNOLOGY INC,OSTTA040161,"LED0,1,2,3,4",50,0,0,TERMINAL BLOCK 5MM VERT 4POS PCB,,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0805JT330RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT330R,"R3,4,5",50,0,0,RES 330 OHM 1/8W 5% 0805 SMD,,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0805JT120RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT120R,R10,10,0,0,RES 120 OHM 1/8W 5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
